Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-26 13:57:03,2022-01-26 13:57:37,33.957s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-26 13:57:03,2022-01-26 13:57:33,29.753s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 13:57:03,2022-01-26 13:57:07,3.632s,PASSED
"ids = CropResponse().getIdsList(""CLIP"")",,,,2022-01-26 13:57:07,2022-01-26 13:57:08,0.732s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:57:08,2022-01-26 13:57:08,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:57:08,2022-01-26 13:57:08,0.001s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:57:08,2022-01-26 13:57:08,0.001s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:57:08,2022-01-26 13:57:08,0.000s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:57:08,2022-01-26 13:57:08,0.000s,PASSED
urlFlag = true,,,,2022-01-26 13:57:08,2022-01-26 13:57:08,0.001s,PASSED
DRMFlag = true,,,,2022-01-26 13:57:08,2022-01-26 13:57:08,0.000s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:57:08,2022-01-26 13:57:08,0.213s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 13:57:08,2022-01-26 13:57:33,24.789s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-26 13:57:33,2022-01-26 13:57:33,0.005s,PASSED
,,,,,,,
Test Cases/SendEmail,,,,2022-01-26 13:57:33,2022-01-26 13:57:37,4.046s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 13:57:33,2022-01-26 13:57:35,1.657s,PASSED
clipsFailedResult = getClipsFailedInstance().getClipsFailedResults(),,,,2022-01-26 13:57:35,2022-01-26 13:57:35,0.001s,PASSED
clipsPassedResult = getClipsPassedInstance().getClipsPassedResults(),,,,2022-01-26 13:57:35,2022-01-26 13:57:35,0.001s,PASSED
"println(""clipsFailedResult Size = "" + clipsFailedResult.size())",,,,2022-01-26 13:57:35,2022-01-26 13:57:35,0.000s,PASSED
"emailBody = """"",,,,2022-01-26 13:57:35,2022-01-26 13:57:35,0.000s,PASSED
if (clipsFailedResult.size() > 0),,,,2022-01-26 13:57:35,2022-01-26 13:57:37,2.207s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-26 13:57:37,2022-01-26 13:57:37,0.002s,PASSED
